DBN,female_percent,male_percent,poverty_percent,avg_home_value_sqft,district_admin_code,grade8_english,grade8_math,regents_algebra,regents_english,regents_history_global,regents_living_environ,sat_reading,sat_math,sat_writing,college_readiness_index,cuny_2yr,cuny_4yr,college_career_readiness_index,enrollment,graduation_rate,college_nys_private,college_nys_public,college_out_of_state,asian_percent,black_percent,ell_percent,hispanic_percent,self-contained_percent,disability_percent,white_percent,cte_percent,arts_percent,ap_exams_percent_scoring_3plus,act_percent_took_exam,sat_percent_took_exam,post-secondary_enroll_rate,student_attendance_rate,school_environment_survey,teacher_attendance,principal_year_exp,zip_code,dropouts_percent,major_crimes,violation_offenses,school_day_length,sat_score_overall,regents_score_overall,population_diversity,grade8_proficiency,all_crime,label
1404M635,0.490624636412,0.509375363588,0.829294979572,391.916666667,2.0,2.123333,2.222,65.0,71.0,64.0,67.0,409.5,410.0,402.0,0.105,0.173,0.019,0.211,17.0,0.737,0.0,0.058,0.0,0.058824,0.411765,0.0,0.529412,0.176471,0.352941,0.0,0.0,0.0,0.0,0.0,0.632,0.25,0.825,0.864,0.973,0.8,10457.0,0.0752283935,1500.0,855.0,420.0,1221.5,267.0,0.453286837371,4.345333,2355.0,0
1404M680,0.547008574009,0.452991455793,0.894586920738,850.75,4.0,2.238715,2.077704,61.0,63.0,52.0,63.0,377.0,376.0,371.0,0.11,0.182,0.03,0.183,351.0,0.695,0.076,0.045,0.0,0.008547,0.316239,0.059829,0.646724,0.091168,0.301994,0.017094,0.0,0.0,0.049,0.0,0.573,0.333,0.834,0.809,0.967,2.6,10029.0,0.073170732,1062.0,855.0,420.0,1124.0,239.0,0.530649952171,4.316419,1917.0,0
1405M157,0.402439028025,0.597561001778,0.853658556938,391.916666667,5.0,2.1204,1.985333,69.0,71.0,64.0,66.0,409.5,410.0,402.0,0.221,0.164,0.122,0.365,82.0,0.738,0.058,0.075,0.029,0.012195,0.5,0.085366,0.45122,0.134146,0.341463,0.012195,0.0,0.0,0.045,0.04,0.632,0.514,0.874,0.811,0.973,1.0,10035.0,0.0752283935,1111.0,749.0,420.0,1221.5,270.0,0.476875217813,4.105733,1860.0,0
1405M304,0.404705882072,0.595294117928,0.89411765337,551.75,5.0,2.285291,2.214031,64.0,70.0,52.0,59.0,419.0,386.0,414.0,0.126,0.14,0.08,0.068,425.0,0.66,0.11,0.11,0.03,0.009412,0.355294,0.091765,0.625882,0.070588,0.24,0.007059,0.0,0.0,0.029,0.029,0.485,0.47,0.87,0.862,0.959,3.8,10030.0,0.0594059,1000.0,960.0,450.0,1219.0,245.0,0.520547333268,4.499322,1960.0,0
1405M362,0.496987938881,0.503012061119,0.576807200909,391.916666667,5.0,3.392771,3.052143,84.0,87.0,87.0,87.0,409.5,410.0,402.0,0.848,0.164,0.122,0.924,377.0,0.989,0.058,0.075,0.029,0.148541,0.183024,0.005305,0.503979,0.002653,0.023873,0.148541,0.0,0.0,0.717,0.098,0.0,0.514,0.947,0.885,0.976,2.9,10027.0,0.0,689.0,371.0,480.0,1221.5,345.0,0.342434427955,6.444914,1060.0,1
1405M367,0.44660192728,0.55339807272,0.828478991985,391.916666667,5.0,2.116478,2.017119,56.0,63.0,49.0,54.0,409.0,386.0,389.0,0.07,0.11,0.111,0.056,260.0,0.451,0.125,0.056,0.056,0.007692,0.496154,0.192308,0.461538,0.096154,0.296154,0.023077,0.0,0.0,0.0,0.014,0.225,0.458,0.697,0.709,0.949,3.6,10027.0,0.0144928,689.0,371.0,430.0,1184.0,222.0,0.470575107914,4.133597,1060.0,0
1405M369,0.793785333633,0.206214696169,0.875706195831,391.916666667,5.0,2.263242,2.138212,67.0,73.0,58.0,67.0,394.0,368.0,384.0,0.143,0.174,0.032,0.1,354.0,0.771,0.127,0.127,0.032,0.011299,0.550847,0.067797,0.415254,0.048023,0.19209,0.011299,0.0,0.086,0.0,0.229,0.729,0.492,0.795,0.83,0.969,7.0,10027.0,0.101449275,689.0,371.0,420.0,1146.0,265.0,0.48707019221,4.401454,1060.0,0
1405M469,0.553072631359,0.446927368641,0.916201114655,391.916666667,5.0,2.216768,2.039082,56.0,59.0,50.0,57.0,409.5,410.0,402.0,0.056,0.066,0.0,0.0,107.0,0.556,0.067,0.0,0.0,0.009346,0.747664,0.018692,0.205607,0.130841,0.28972,0.037383,0.0,0.0,0.0,0.056,0.778,0.133,0.785,0.804,0.957,2.4,10035.0,0.0752283935,1500.0,855.0,420.0,1221.5,222.0,0.60276053175,4.25585,2355.0,0
1405M499,0.451981186867,0.548018813133,0.742780387402,391.916666667,5.0,2.567303,2.522486,66.0,73.0,67.0,74.0,456.0,456.0,447.0,0.349,0.176,0.253,0.393,1176.0,0.679,0.054,0.18,0.115,0.013605,0.717687,0.02466,0.232143,0.040816,0.108844,0.015306,0.0,0.0,0.298,0.246,0.726,0.778,0.885,0.786,0.975,2.6,10039.0,0.059761,1000.0,960.0,420.0,1359.0,280.0,0.594387927271,5.089789,1960.0,0
1405M670,0.505244731903,0.494755238295,0.769230782986,551.75,5.0,2.401847,2.292744,66.0,77.0,59.0,67.0,415.0,421.0,411.0,0.263,0.21,0.16,0.222,403.0,0.838,0.06,0.27,0.08,0.002481,0.781638,0.019851,0.2134,0.009926,0.166253,0.0,0.0,0.0,0.051,0.051,0.798,0.78,0.928,0.885,0.956,3.0,10030.0,0.040404,1000.0,960.0,390.0,1247.0,269.0,0.659773412936,4.694591,1960.0,0
1405M685,0.405109494925,0.594890534878,0.843065679073,551.75,5.0,2.036724,1.975381,56.0,57.0,47.0,56.0,353.0,340.0,338.0,0.04,0.056,0.024,0.01,274.0,0.277,0.024,0.04,0.04,0.0,0.525547,0.20073,0.459854,0.178832,0.328467,0.010949,0.0,0.0,0.0,0.03,0.406,0.184,0.719,0.809,0.922,3.4,10030.0,0.290322581,1500.0,855.0,420.0,1031.0,216.0,0.491365654183,4.012105,2355.0,0
1405M692,0.324561417103,0.675438582897,0.515350878239,599.083333333,5.0,3.666768,3.747761,90.0,81.0,90.0,88.0,623.0,675.0,605.0,0.989,0.579,0.269,0.989,456.0,0.989,0.022,0.054,0.022,0.366228,0.092105,0.0,0.239035,0.006579,0.052632,0.254386,0.0,0.0,0.773,0.205,0.886,0.946,0.954,0.926,0.986,2.6,10031.0,0.0113636,689.0,371.0,455.0,1903.0,349.0,0.291947263821,7.414529,1060.0,1
1406M293,0.573355793953,0.426644176245,0.887015163898,391.916666667,6.0,2.799818,2.871216,72.0,76.0,76.0,74.0,443.0,478.0,439.0,0.615,0.049,0.802,1.0,340.0,0.974,0.012,0.0,0.0,0.008824,0.041176,0.029412,0.941176,0.002941,0.155882,0.008824,0.0,0.949,0.0,0.423,0.949,0.864,0.946,0.916,0.971,9.0,10040.0,0.0,1160.0,522.0,465.0,1360.0,298.0,0.887663451904,5.671034,1682.0,1
1406M346,0.498333334923,0.501666665077,0.921666681767,391.916666667,6.0,2.158007,2.076525,65.0,70.0,65.0,64.0,384.0,373.0,378.0,0.176,0.26,0.13,0.309,361.0,0.618,0.039,0.026,0.026,0.00277,0.074792,0.277008,0.900277,0.066482,0.229917,0.01385,0.0,0.0,0.191,0.0,0.721,0.481,0.84,0.931,0.975,3.1,10032.0,0.0447761,927.0,530.0,420.0,1135.0,264.0,0.830031465887,4.234532,1457.0,0
1406M348,0.429230779409,0.570769250393,1.0,391.916666667,6.0,2.395259,2.495137,73.0,74.0,67.0,75.0,428.0,435.0,423.0,0.468,0.256,0.081,0.5,384.0,0.777,0.081,0.14,0.023,0.002604,0.020833,0.151042,0.96875,0.005208,0.21875,0.002604,0.0,0.0,0.457,0.0,0.904,0.581,0.861,0.916,0.965,8.0,10033.0,0.0,1160.0,522.0,420.0,1286.0,289.0,0.948782813401,4.890396,1682.0,0
1406M462,0.355311363935,0.644688665867,0.94505494833,391.916666667,6.0,2.087198,2.121843,67.0,59.0,56.0,65.0,387.0,396.0,385.0,0.149,0.292,0.087,0.143,546.0,0.552,0.025,0.0,0.0,0.003663,0.058608,0.496337,0.919414,0.102564,0.195971,0.012821,0.0,0.0,0.039,0.071,0.396,0.404,0.856,0.895,0.961,3.3,10040.0,0.125,1160.0,522.0,465.0,1168.0,247.0,0.858340332063,4.209041,1682.0,0
1406M463,0.393881440163,0.606118559837,0.902485668659,391.916666667,6.0,2.129907,2.09796,57.0,62.0,55.0,61.0,362.0,369.0,363.0,0.073,0.174,0.031,0.211,523.0,0.61,0.055,0.055,0.016,0.01912,0.139579,0.332696,0.820268,0.086042,0.235182,0.015296,0.0,0.0,0.114,0.008,0.455,0.331,0.816,0.84,0.962,6.0,10040.0,0.090163934,1160.0,522.0,465.0,1094.0,235.0,0.700940957438,4.227867,1682.0,0
