,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
825,0.148,0.270331,0.229048,2014,0.611,0.092,0.096,0.045,0.472,0.195,0.245,21K525,0.176324,21.0,21.0,0.0364583,0.079085,4021.0,2.734832,2.71207,0.812,0.205919,0.416563034058,0.673,0.536931097507,0.0,66.0,78.0,499.0,0.751,475.0,1443.0,469.0,General Academic,0.86,0.071375,0.915,0.959,0.0,0.281025,11230.0,400.0
826,0.022,0.38668,0.262261,2014,0.542,0.068,0.063,0.015,0.391,0.275,0.142,21K540,0.132163,21.0,21.0,0.0307971,0.243676,1937.0,2.379719,2.489987,0.792,0.211668,0.546721756458,0.563,0.84150749445,0.0,70.0,66.0,485.0,0.656,417.0,1312.0,410.0,General Academic,0.79,0.056789,0.873,0.968,0.0,0.133712,11223.0,412.0
827,0.016,0.046154,0.523077,2014,0.587,0.022,0.044,0.044,0.111,0.223,0.067,21K559,0.211538,21.0,21.0,0.031746,0.030769,260.0,2.349106,2.16661,0.921,0.265385,0.415384620428,0.4,0.880769252777,0.0,75.0,78.0,379.0,0.667,392.0,1170.0,399.0,General Academic,0.89,0.084615,0.851,0.978,0.0,0.161538,11214.0,405.0
828,0.014,0.15942,0.210145,2014,0.812,0.058,0.135,0.038,0.261,0.231,0.173,21K572,0.181159,21.0,21.0,0.0597015,0.173913,276.0,2.356618,2.322311,0.812,0.427536,0.543478250504,0.635,0.797101438046,0.0,72.0,70.0,407.0,0.797,395.0,1183.0,381.0,General Academic,0.94,0.083333,0.834,0.974,0.0,0.184783,11214.0,410.0
829,0.031,0.025157,0.731132,2014,0.296,0.026,0.044,0.03,0.082,0.151,0.022,21K620,0.325472,21.0,21.0,0.168421053,0.04717,636.0,2.198606,2.118877,0.571,0.163522,0.775157213211,0.273,0.899371087551,0.0,62.0,62.0,402.0,0.357,378.0,1146.0,366.0,Career Technical,0.83,0.16195,0.823,0.953,0.0,0.070755,11235.0,420.0
830,0.06,0.139104,0.061824,2014,0.607,0.052,0.013,0.006,0.387,0.227,0.247,21K690,0.191654,21.0,21.0,0.0481928,0.106646,647.0,2.610826,2.471248,0.78,0.214838,0.514412403107,0.545,0.756097555161,0.0,69.0,73.0,462.0,0.685,437.0,1338.0,439.0,General Academic,0.77,0.049459,0.883,0.958,0.0,0.582689,11214.0,390.0
831,0.135,0.332989,0.314676,2014,0.819,0.105,0.116,0.045,0.73,0.214,0.264,22K405,0.071963,22.0,22.0,0.0230011,0.038432,3877.0,3.060675,3.053935,0.891,0.120196,0.442868202925,0.744,0.490069627762,0.0,75.0,80.0,551.0,0.838,506.0,1561.0,504.0,General Academic,0.86,0.023472,0.938,0.959,0.0,0.228269,11210.0,405.0
832,0.12,0.214075,0.172177,2014,0.578,0.049,0.05,0.032,0.459,0.283,0.218,22K425,0.147954,22.0,22.0,0.097867001,0.125368,3055.0,2.631901,2.594418,0.759,0.155483,0.573486089706,0.632,0.636988520622,0.0,71.0,71.0,500.0,0.653,464.0,1428.0,464.0,General Academic,0.85,0.053028,0.912,0.959,0.0,0.455646,11229.0,398.0
833,0.015,0.129893,0.547153,2014,0.14,0.034,0.025,0.025,0.109,0.148,0.072,22K495,0.174377,22.0,22.0,0.198660714,0.269573,1124.0,2.261316,2.17228,0.478,0.185943,0.57651245594,0.304,0.633451938629,0.0,58.0,61.0,397.0,0.448,385.0,1158.0,376.0,General Academic,0.73,0.106762,0.731,0.963,0.0,0.133452,,
834,0.178,0.179732,0.086998,2014,0.963,0.089,0.158,0.049,0.863,0.174,0.441,22K535,0.140535,22.0,22.0,0.00416667,0.00956,1046.0,3.321543,3.308461,0.963,0.104207,0.423518151045,0.911,0.468451231718,0.0,77.0,82.0,569.0,0.913,552.0,1679.0,558.0,General Academic,0.84,0.027725,0.957,0.97,0.0,0.617591,11235.0,375.0
